,Unnamed: 0,frame,bright_w,valence_w,max_w,bright_t,valence_t,max_t,bright_c,valence_c,max_c,bright_f,valence_f,max_f,bright_s,valence_s,max_s,corrected_focus,val_sq,stars_delta,stars_v_delta,corrected_by_stars,valence_corrected_by_stars,val_sq_corrected,frame_signal
0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.150850644261082e-05,-5.267204169720657,5.234572559262374e-06,-1.34658658197066,1.8132954227434248,0.0
1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.744474375762978e-05,-4.529108931625423,4.9735929196325705e-06,-1.1578889139461086,1.3407067370392989,0.0
2,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.533788040275653e-05,-4.475537503053992,4.838287666415839e-06,-1.144193115460455,1.3091778854671021,0.0
3,3,4.0,0.2146688758002387,129.0,3.0,0.0118129475911457,30.0,3.0,0.0018864568074544,9.0,3.0,0.000271970960829,6.0,3.0,0.0012083350287543,65.0,10.0,0.000271970960829,36.0,7.379669561242172e-05,-3.433870836387328,8.150321799148699e-05,5.70156079655851,32.50779551685291,0.0
4,4,5.0,0.2145827865600586,134.0,3.0,0.0117635260687934,30.0,3.0,0.0019398625691732,9.0,7.0,0.0002781380547417,7.0,7.0,0.0011825264824761,65.0,9.0,0.0002781380547417,49.0,7.5316263784924e-05,-3.000537503053991,8.334147105451863e-05,6.908919041960633,47.733162328366234,0.0
5,5,6.0,0.2145793279012045,124.0,3.0,0.0119097349378798,30.0,3.0,0.0018721516927083,9.0,3.0,0.0002704789903429,7.0,3.0,0.0011564212375217,67.0,8.0,0.0002704789903429,49.0,7.639694054767127e-05,-1.645992048508539,8.124909955596939e-05,7.2552152315493865,52.63814805610622,0.0
6,6,7.0,0.2141972902086049,139.0,3.0,0.0117595969306098,16.0,3.0,0.0018778143988715,9.0,3.0,0.0002692159016927,6.0,3.0,0.0011653349134656,67.0,9.0,0.0002692159016927,36.0,7.683550229223572e-05,-1.2672041697206566,8.092075725777683e-05,6.25547975753381,39.13102699691525,0.0
7,7,8.0,0.2142820146348742,132.0,3.0,0.0115494749281141,11.0,3.0,0.0018361451890733,8.0,3.0,0.0002668846978082,4.0,3.0,0.0011477661132812,66.0,8.0,0.0002668846978082,16.0,7.684566395019785e-05,-1.0236144261309121,8.0263426669284e-05,4.124605763892055,17.012372707531565,0.0
8,8,9.0,0.2149250581529406,128.0,3.0,0.0117324871487087,16.0,3.0,0.0018746651543511,12.0,3.0,0.0002691353691948,6.0,3.0,0.0011570273505317,60.0,10.0,0.0002691353691948,36.0,7.671177692590136e-05,-0.7433946459111382,8.089008114047838e-05,6.389394231615749,40.82435864700461,0.0
9,9,10.0,0.2142793316311307,135.0,3.0,0.0117615678575303,39.0,3.0,0.0018732155693902,14.0,3.0,0.0002710766262477,12.0,3.0,0.0011703448825412,59.0,9.0,0.0002710766262477,144.0,7.648892998140416e-05,-0.7005375030539938,8.142369018726793e-05,12.979797589646651,168.475145468197,0.0
