,frame,brightness,valence,max,x,y,area
0,1.0,0.2572370571560332,144.0,66.0,520.0,333.0,534.5
1,2.0,0.26095668368869346,151.0,67.0,520.0,332.0,536.0
2,3.0,0.26089714050293006,156.0,67.0,531.0,346.0,381.5
3,4.0,0.2610208553738063,160.0,67.0,534.0,348.0,517.0
4,5.0,0.2610208553738063,160.0,67.0,534.0,348.0,517.0
5,6.0,0.26098262786865234,174.0,67.0,542.0,366.0,392.5
6,7.0,0.2610270182291667,182.0,67.0,548.0,370.0,488.0
7,8.0,0.26103482988145565,190.0,67.0,553.0,370.0,506.0
8,9.0,0.26103523678249824,192.0,67.0,553.0,370.0,506.0
9,10.0,0.26103529612223303,188.0,67.0,553.0,370.0,503.5
10,11.0,0.26120320214165593,196.0,67.0,555.0,385.0,821.5
11,12.0,0.26110338846842435,189.0,67.0,553.0,401.0,658.5
12,13.0,0.26110346476236973,188.0,67.0,553.0,401.0,656.5
13,14.0,0.26110346476236973,188.0,67.0,553.0,401.0,656.5
14,15.0,0.26127062479654956,194.0,67.0,560.0,402.0,921.0
15,16.0,0.26127053578694653,194.0,67.0,560.0,402.0,921.0
16,17.0,0.2612705273098414,194.0,67.0,560.0,402.0,921.0
17,18.0,0.2612038379245335,193.0,67.0,569.0,409.0,848.0
18,19.0,0.26131128946940085,188.0,67.0,570.0,406.0,1011.0
19,20.0,0.26161902109781904,207.0,67.0,560.0,409.0,1591.5
20,21.0,0.2618507554796004,201.0,67.0,562.0,412.0,1857.5
21,22.0,0.26185069613986567,201.0,67.0,562.0,412.0,1857.5
22,23.0,0.26212574852837467,197.0,67.0,556.0,396.0,2394.5
23,24.0,0.2621257612440323,197.0,67.0,556.0,396.0,2395.5
24,25.0,0.26212551540798634,197.0,67.0,556.0,396.0,2395.5
25,26.0,0.26244458092583534,193.0,67.0,549.0,397.0,2932.5
26,27.0,0.2624370490180124,195.0,67.0,547.0,404.0,2890.0
27,28.0,0.26243703630235476,195.0,67.0,547.0,404.0,2890.0
28,29.0,0.26243705325656486,195.0,67.0,547.0,404.0,2890.0
29,30.0,0.2624962022569444,196.0,67.0,545.0,411.0,2929.0
30,31.0,0.2624961429172093,196.0,67.0,545.0,411.0,2928.0
31,32.0,0.2624954732259116,196.0,67.0,545.0,411.0,2928.0
32,33.0,0.2620870929294158,199.0,67.0,540.0,415.0,2217.0
33,34.0,0.2618024910820859,192.0,67.0,535.0,404.0,1619.0
34,35.0,0.26154825846354146,196.0,67.0,532.0,408.0,1281.0
35,36.0,0.26154847462971964,195.0,67.0,532.0,408.0,1281.0
36,37.0,0.26154847886827215,195.0,67.0,532.0,408.0,1281.0
37,38.0,0.2614247300889759,181.0,67.0,531.0,409.0,1042.5
38,39.0,0.26131869845920164,183.0,67.0,531.0,420.0,879.0
39,40.0,0.26131771511501767,182.0,67.0,531.0,420.0,879.0
40,41.0,0.261316596137153,182.0,67.0,531.0,420.0,879.0
41,42.0,0.2613149261474612,185.0,67.0,531.0,420.0,879.0
42,43.0,0.2612610965304901,183.0,67.0,539.0,425.0,718.0
43,44.0,0.26124167972140844,184.0,67.0,547.0,436.0,855.5
44,45.0,0.2610262129041882,175.0,67.0,552.0,443.0,492.0
45,46.0,0.2610261917114257,175.0,67.0,552.0,443.0,492.0
46,47.0,0.26102595859103733,175.0,67.0,552.0,443.0,492.0
47,48.0,0.2610273022121852,170.0,67.0,554.0,445.0,427.5
48,49.0,0.260972768995497,170.0,67.0,554.0,431.0,498.5
49,50.0,0.2609727520412871,170.0,67.0,554.0,431.0,498.5
50,51.0,0.2609727478027346,170.0,67.0,554.0,431.0,498.5
51,52.0,0.2609838146633571,160.0,67.0,558.0,431.0,413.0
52,53.0,0.2609177780151369,163.0,67.0,565.0,438.0,338.5
53,54.0,0.2609177907307943,164.0,67.0,565.0,438.0,337.5
54,55.0,0.2609178076850044,164.0,67.0,565.0,438.0,337.5
55,56.0,0.26093583848741336,165.0,67.0,565.0,438.0,337.5
56,57.0,0.26096162160237635,150.0,67.0,563.0,441.0,340.5
57,58.0,0.26093565622965514,147.0,67.0,561.0,452.0,290.0
58,59.0,0.26089495764838344,141.0,67.0,556.0,455.0,313.0
59,60.0,0.26089511871337895,141.0,67.0,556.0,455.0,313.0
60,61.0,0.260895135667589,141.0,67.0,556.0,455.0,313.0
61,62.0,0.26092309739854597,128.0,67.0,561.0,466.0,286.5
62,63.0,0.26086389329698345,132.0,67.0,563.0,471.0,269.5
63,64.0,0.260864045884874,132.0,67.0,563.0,471.0,269.5
64,65.0,0.26086406283908403,132.0,67.0,563.0,471.0,269.5
65,66.0,0.2608929231431751,126.0,67.0,565.0,473.0,297.5
66,67.0,0.2608406575520834,136.0,67.0,566.0,464.0,237.5
67,68.0,0.2608406405978735,136.0,67.0,566.0,464.0,237.5
68,69.0,0.2608406405978735,136.0,67.0,566.0,464.0,237.5
69,70.0,0.2608694966634112,126.0,67.0,568.0,463.0,214.0
70,71.0,0.2608467949761281,133.0,67.0,566.0,459.0,205.5
71,72.0,0.26084685007731134,133.0,67.0,566.0,459.0,205.5
72,73.0,0.2608468204074434,133.0,67.0,566.0,459.0,205.5
73,74.0,0.26089197370741113,114.0,67.0,562.0,451.0,215.5
74,75.0,0.2608564546373158,119.0,67.0,561.0,441.0,218.0
75,76.0,0.2608564885457358,118.0,67.0,561.0,441.0,218.0
76,77.0,0.2608564461602108,118.0,67.0,561.0,441.0,218.0
77,78.0,0.26088822682698554,106.0,67.0,558.0,427.0,188.0
78,79.0,0.2608847130669488,117.0,67.0,560.0,414.0,200.5
79,80.0,0.26088403913709846,117.0,67.0,560.0,414.0,200.5
