,frame,brightness,valence,max,x,y,area
0,1.0,0.07667028808593757,143.0,0.0,418.0,147.0,177.0
1,2.0,0.07659033203125001,163.0,0.0,397.0,148.0,151.5
2,3.0,0.07681008300781232,166.0,0.0,394.0,145.0,170.0
3,4.0,0.07697763671875003,164.0,0.0,397.0,139.0,167.0
4,5.0,0.07678554687499992,148.0,0.0,394.0,136.0,125.5
5,6.0,0.07673107910156275,140.0,0.0,392.0,140.0,108.0
6,7.0,0.07664179687499995,115.0,0.0,399.0,146.0,61.5
7,8.0,0.07666889648437504,106.0,0.0,418.0,159.0,7.0
8,9.0,0.07696804199218737,105.0,0.0,0.0,0.0,0.0
9,10.0,0.07681933593750011,104.0,0.0,457.0,177.0,16.5
10,11.0,0.07686577148437498,134.0,0.0,471.0,193.0,117.0
11,12.0,0.07700495605468721,159.0,0.0,470.0,205.0,187.0
12,13.0,0.07723562011718746,181.0,0.0,470.0,212.0,227.0
13,14.0,0.07747827148437511,195.0,0.0,477.0,223.0,347.5
14,15.0,0.07713156738281267,188.0,0.0,484.0,237.0,288.5
15,16.0,0.07712416992187483,168.0,0.0,490.0,253.0,206.0
16,17.0,0.07662175292968745,123.0,0.0,497.0,265.0,103.5
17,18.0,0.07643444824218752,100.0,0.0,0.0,0.0,0.0
18,19.0,0.07628051757812523,95.0,0.0,0.0,0.0,0.0
19,20.0,0.0764107666015626,97.0,0.0,0.0,0.0,0.0
20,21.0,0.07647192382812512,87.0,0.0,0.0,0.0,0.0
21,22.0,0.07623522949218743,83.0,0.0,0.0,0.0,0.0
22,23.0,0.07605766601562491,74.0,0.0,0.0,0.0,0.0
23,24.0,0.07646474609375009,88.0,0.0,0.0,0.0,0.0
24,25.0,0.07658305664062512,84.0,0.0,0.0,0.0,0.0
25,26.0,0.07641269531249964,85.0,0.0,0.0,0.0,0.0
26,27.0,0.07633754882812505,83.0,0.0,0.0,0.0,0.0
27,28.0,0.0761648681640625,77.0,0.0,0.0,0.0,0.0
28,29.0,0.07613693847656261,72.0,0.0,0.0,0.0,0.0
29,30.0,0.07605661621093736,79.0,0.0,0.0,0.0,0.0
30,31.0,0.0760005859374999,83.0,0.0,0.0,0.0,0.0
31,32.0,0.07613007812499989,98.0,0.0,0.0,0.0,0.0
32,33.0,0.07631794433593732,102.0,0.0,547.0,276.0,24.5
33,34.0,0.07639572753906236,140.0,0.0,555.0,278.0,104.5
34,35.0,0.07652890624999999,170.0,0.0,548.0,280.0,190.5
35,36.0,0.07721113281250012,183.0,0.0,542.0,286.0,250.5
36,37.0,0.08849863281250002,233.0,0.0,544.0,290.0,1792.0
37,38.0,0.07869797363281236,174.0,0.0,542.0,288.0,187.0
38,39.0,0.07772221679687494,157.0,0.0,542.0,289.0,154.0
39,40.0,0.0774476074218749,130.0,0.0,539.0,292.0,106.0
40,41.0,0.07694519042968738,117.0,0.0,546.0,298.0,82.5
41,42.0,0.07695808105468756,117.0,0.0,559.0,305.0,87.0
42,43.0,0.07643691406250006,112.0,0.0,564.0,310.0,62.0
43,44.0,0.07606889648437493,117.0,0.0,566.0,315.0,61.0
44,45.0,0.07606613769531259,127.0,0.0,572.0,316.0,112.0
45,46.0,0.07624089355468731,131.0,0.0,579.0,311.0,114.0
46,47.0,0.07605710449218762,134.0,0.0,579.0,306.0,128.0
47,48.0,0.07612553710937514,134.0,0.0,574.0,300.0,131.0
48,49.0,0.07605551757812498,145.0,0.0,571.0,296.0,139.5
49,50.0,0.07596247558593727,136.0,0.0,568.0,290.0,111.5
50,51.0,0.07594035644531254,131.0,0.0,562.0,284.0,98.0
51,52.0,0.07614816894531252,126.0,0.0,556.0,279.0,90.5
52,53.0,0.07614611816406253,133.0,0.0,558.0,274.0,92.0
53,54.0,0.07654814453124997,137.0,0.0,569.0,278.0,122.5
54,55.0,0.07636796875000014,154.0,0.0,574.0,281.0,135.0
55,56.0,0.07650114746093728,140.0,0.0,575.0,279.0,108.5
56,57.0,0.07652880859374996,135.0,0.0,580.0,284.0,132.5
57,58.0,0.07662578124999991,145.0,0.0,587.0,288.0,147.0
58,59.0,0.0767315673828124,148.0,0.0,604.0,291.0,173.0
59,60.0,0.07670812988281264,149.0,0.0,612.0,290.0,124.0
60,61.0,0.07674992675781225,145.0,0.0,611.0,288.0,149.0
61,62.0,0.07658403320312476,149.0,0.0,603.0,283.0,146.5
62,63.0,0.07632722167968738,144.0,0.0,596.0,276.0,105.0
63,64.0,0.07624516601562506,133.0,0.0,603.0,279.0,120.5
64,65.0,0.0762855712890625,146.0,0.0,616.0,290.0,143.0
65,66.0,0.07634311523437508,134.0,0.0,622.0,296.0,118.5
66,67.0,0.07625195312499987,122.0,0.0,612.0,298.0,107.0
67,68.0,0.07644196777343742,114.0,0.0,599.0,297.0,77.0
68,69.0,0.07635432128906257,114.0,0.0,598.0,296.0,59.0
69,70.0,0.07639855957031258,118.0,0.0,599.0,297.0,75.5
70,71.0,0.07627197265625009,123.0,0.0,600.0,296.0,94.0
71,72.0,0.07623308105468754,131.0,0.0,595.0,297.0,111.0
72,73.0,0.07624023437499985,135.0,0.0,587.0,303.0,107.5
73,74.0,0.0761209472656251,137.0,0.0,587.0,305.0,119.0
74,75.0,0.07631062011718759,136.0,0.0,591.0,304.0,112.0
75,76.0,0.07622336425781252,148.0,0.0,585.0,303.0,119.5
76,77.0,0.07643803710937486,149.0,0.0,585.0,308.0,132.0
77,78.0,0.07644763183593742,146.0,0.0,586.0,312.0,141.5
78,79.0,0.07653210449218759,147.0,0.0,586.0,312.0,136.5
79,80.0,0.0767097412109375,152.0,0.0,580.0,315.0,163.0
80,81.0,0.07688044433593776,160.0,0.0,565.0,314.0,183.5
81,82.0,0.07659838867187495,151.0,0.0,555.0,314.0,165.5
