,frame,brightness,valence,max,x,y,area
0,1.0,0.20449247996012343,53.0,57.0,0.0,0.0,0.0
1,2.0,0.22451583862304678,119.0,57.0,607.0,373.0,184.5
2,3.0,0.22439632839626744,119.0,57.0,609.0,369.0,70.0
3,4.0,0.224240214029948,122.0,57.0,614.0,369.0,62.5
4,5.0,0.2241619194878474,120.0,57.0,612.0,369.0,53.0
5,6.0,0.22413220299614792,118.0,57.0,613.0,372.0,69.0
6,7.0,0.22427979363335512,120.0,57.0,615.0,371.0,75.0
7,8.0,0.22441688113742386,114.0,57.0,620.0,369.0,50.0
8,9.0,0.22442100101047094,110.0,57.0,626.0,368.0,70.5
9,10.0,0.22444978502061616,172.0,57.0,629.0,371.0,234.0
10,11.0,0.2247184160020616,184.0,57.0,642.0,375.0,692.0
11,12.0,0.2246920733981663,181.0,57.0,652.0,381.0,670.5
12,13.0,0.22472224765353732,187.0,57.0,659.0,387.0,625.5
13,14.0,0.22469399346245686,177.0,57.0,662.0,388.0,599.5
14,15.0,0.22463010999891492,180.0,57.0,661.0,388.0,610.5
15,16.0,0.22457468668619787,188.0,57.0,659.0,382.0,615.5
16,17.0,0.2256064987182615,177.0,57.0,657.0,380.0,1156.5
17,18.0,0.22509186214870872,190.0,57.0,656.0,369.0,576.5
18,19.0,0.2247412490844725,145.0,57.0,650.0,365.0,84.0
19,20.0,0.22471364339192712,129.0,57.0,653.0,361.0,191.5
20,21.0,0.22472359551323787,117.0,57.0,637.0,356.0,65.0
21,22.0,0.2247152879503039,113.0,57.0,638.0,352.0,64.0
22,23.0,0.2247099304199217,109.0,57.0,642.0,352.0,41.0
23,24.0,0.22455908033582916,111.0,57.0,645.0,356.0,53.0
24,25.0,0.22429098341200102,107.0,57.0,647.0,362.0,98.5
25,26.0,0.2242450671725801,108.0,57.0,647.0,365.0,88.0
26,27.0,0.22436342027452275,110.0,57.0,648.0,365.0,95.5
27,28.0,0.2243222003512914,117.0,57.0,644.0,360.0,52.5
28,29.0,0.2242956458197701,116.0,57.0,647.0,358.0,54.5
29,30.0,0.2241663742065429,113.0,57.0,649.0,352.0,33.0
30,31.0,0.22415603213840068,119.0,57.0,647.0,354.0,58.5
31,32.0,0.2241662682427301,130.0,57.0,645.0,360.0,75.5
32,33.0,0.22420797983805324,122.0,57.0,642.0,363.0,83.0
33,34.0,0.22411999172634553,121.0,57.0,642.0,368.0,71.0
34,35.0,0.22403783586290166,119.0,57.0,640.0,369.0,79.5
35,36.0,0.22404066721598312,121.0,57.0,639.0,372.0,77.0
36,37.0,0.22412051730685775,124.0,57.0,643.0,378.0,76.0
37,38.0,0.22427142673068567,128.0,57.0,649.0,383.0,86.0
38,39.0,0.22436974419487835,110.0,57.0,657.0,389.0,44.5
39,40.0,0.22435093349880647,119.0,57.0,655.0,395.0,58.0
40,41.0,0.22440758175320072,116.0,57.0,656.0,399.0,74.5
41,42.0,0.22446939680311395,112.0,57.0,659.0,401.0,70.0
42,43.0,0.2244191445244682,118.0,57.0,659.0,398.0,54.0
43,44.0,0.22443435245090063,123.0,57.0,657.0,395.0,60.5
44,45.0,0.22425106896294475,120.0,57.0,654.0,386.0,57.5
45,46.0,0.22419667985704228,118.0,57.0,651.0,380.0,52.0
46,47.0,0.2242258622911242,118.0,57.0,650.0,376.0,65.5
47,48.0,0.22424936506483287,106.0,57.0,651.0,373.0,52.0
48,49.0,0.22417708079020185,114.0,57.0,651.0,372.0,66.5
49,50.0,0.22411714765760615,112.0,57.0,654.0,369.0,58.5
50,51.0,0.22412765502929713,118.0,57.0,658.0,369.0,59.5
51,52.0,0.22437064700656462,156.0,57.0,657.0,374.0,196.0
52,53.0,0.22456293741861993,176.0,57.0,661.0,377.0,497.0
53,54.0,0.22466744740804037,180.0,57.0,663.0,378.0,584.5
54,55.0,0.22457296583387595,179.0,57.0,667.0,378.0,567.0
55,56.0,0.2245591396755644,175.0,57.0,665.0,378.0,568.0
56,57.0,0.22459913465711812,179.0,57.0,665.0,378.0,574.0
57,58.0,0.22478654225667324,178.0,57.0,663.0,377.0,601.5
58,59.0,0.22470839606391044,178.0,57.0,661.0,375.0,572.5
59,60.0,0.22552734374999994,185.0,57.0,659.0,381.0,1129.5
60,61.0,0.22484610239664685,154.0,57.0,655.0,373.0,162.5
61,62.0,0.2247095065646701,115.0,57.0,664.0,362.0,94.0
62,63.0,0.22466224246554925,101.0,57.0,659.0,357.0,57.0
