,frame,brightness,valence,max,x,y,area
0,1.0,0.23324777832031268,218.0,47.0,976.0,351.0,14109.0
1,2.0,0.22315444335937534,223.0,40.0,977.0,359.0,12038.5
2,3.0,0.2064212158203126,221.0,40.0,979.0,367.0,9417.0
3,4.0,0.1968990966796876,228.0,43.0,979.0,374.0,8125.5
4,5.0,0.23018876953125014,223.0,46.0,978.0,385.0,14135.0
5,6.0,0.2302651123046879,222.0,46.0,978.0,385.0,14121.5
6,7.0,0.20377238769531247,232.0,44.0,976.0,393.0,9524.5
7,8.0,0.20458571777343737,226.0,43.0,978.0,400.0,9256.0
8,9.0,0.20313662109375016,224.0,44.0,976.0,404.0,9122.0
9,10.0,0.21960288085937538,220.0,47.0,976.0,411.0,11759.0
10,11.0,0.22005881347656253,221.0,47.0,976.0,411.0,11759.0
11,12.0,0.21025507812500016,218.0,45.0,976.0,416.0,10186.0
12,13.0,0.20678547363281274,222.0,43.0,974.0,422.0,9680.0
13,14.0,0.21896862792968744,216.0,43.0,972.0,426.0,12341.5
14,15.0,0.20571242675781287,216.0,45.0,974.0,430.0,8882.0
15,16.0,0.20598730468749996,215.0,45.0,974.0,430.0,8882.0
16,17.0,0.2020072021484374,223.0,43.0,974.0,436.0,9559.5
17,18.0,0.2226819091796877,217.0,43.0,971.0,438.0,11836.0
18,19.0,0.21449851074218756,215.0,46.0,974.0,442.0,10361.5
19,20.0,0.2191342773437501,214.0,43.0,969.0,442.0,11385.0
20,21.0,0.21925842285156266,213.0,45.0,969.0,442.0,11371.0
21,22.0,0.21255205078124997,216.0,43.0,973.0,447.0,10781.5
22,23.0,0.2150614257812501,217.0,43.0,973.0,450.0,11380.0
23,24.0,0.2306095214843749,221.0,43.0,969.0,454.0,14228.0
24,25.0,0.19894660644531245,221.0,40.0,970.0,456.0,9390.0
25,26.0,0.1986063964843753,222.0,40.0,970.0,456.0,9347.5
26,27.0,0.19629460449218755,223.0,40.0,968.0,459.0,8468.0
27,28.0,0.2013243652343754,225.0,43.0,967.0,462.0,8819.0
28,29.0,0.20066213378906267,216.0,44.0,967.0,462.0,9112.5
29,30.0,0.20372878417968762,215.0,44.0,967.0,465.0,9542.0
30,31.0,0.20339113769531286,215.0,45.0,967.0,465.0,9556.0
31,32.0,0.21544965820312492,224.0,44.0,966.0,469.0,11250.0
32,33.0,0.2034129638671879,221.0,43.0,962.0,473.0,8941.5
33,34.0,0.20751625976562507,228.0,43.0,963.0,474.0,10025.5
34,35.0,0.20589396972656257,228.0,43.0,963.0,474.0,9601.0
35,36.0,0.20578491210937488,228.0,43.0,963.0,474.0,9598.0
36,37.0,0.22926440429687495,219.0,43.0,962.0,474.0,13868.5
37,38.0,0.2222671386718747,219.0,45.0,961.0,477.0,12311.0
38,39.0,0.21265505371093785,219.0,43.0,960.0,479.0,10555.5
