,frame,brightness,valence,max,x,y,area
0,1.0,0.33364601559109214,119.0,117.0,0.0,0.0,0.0
1,2.0,0.398180253770616,121.0,117.0,0.0,0.0,0.0
2,3.0,0.43912904527452234,122.0,117.0,0.0,0.0,0.0
3,4.0,0.4336448033650717,124.0,117.0,0.0,0.0,0.0
4,5.0,0.42742876688639375,124.0,117.0,0.0,0.0,0.0
5,6.0,0.4699210569593643,66.0,117.0,483.0,346.0,941.0
6,7.0,0.46991791195339605,71.0,117.0,484.0,352.0,1017.0
7,8.0,0.4700727250840932,102.0,117.0,685.0,340.0,1990.5
8,9.0,0.4696038267347551,79.0,117.0,684.0,336.0,1544.0
9,10.0,0.46918181101481116,57.0,117.0,620.0,414.0,383.0
10,11.0,0.46902154710557725,70.0,117.0,680.0,352.0,430.0
11,12.0,0.4688802719116212,75.0,117.0,681.0,356.0,361.5
12,13.0,0.46848442501491977,78.0,117.0,679.0,357.0,443.5
13,14.0,0.4682983695136172,79.0,117.0,679.0,359.0,383.0
14,15.0,0.46827111562093104,79.0,117.0,679.0,358.0,363.0
15,16.0,0.46780110253228074,75.0,117.0,675.0,357.0,332.0
16,17.0,0.4676788372463647,80.0,117.0,675.0,357.0,352.0
17,18.0,0.4674562708536785,80.0,117.0,676.0,357.0,336.0
18,19.0,0.46741347842746306,62.0,117.0,680.0,357.0,215.5
19,20.0,0.467604480319553,63.0,117.0,680.0,361.0,221.0
20,21.0,0.4676381174723309,64.0,117.0,678.0,364.0,412.0
21,22.0,0.4674292797512477,67.0,117.0,726.0,350.0,87.5
22,23.0,0.4671818245781793,68.0,117.0,749.0,333.0,37.5
23,24.0,0.46674419826931424,67.0,117.0,706.0,363.0,157.0
24,25.0,0.46623061286078565,100.0,117.0,776.0,351.0,24.0
25,26.0,0.4660291968451606,92.0,117.0,777.0,344.0,2.0
26,27.0,0.46553756290011944,74.0,117.0,670.0,441.0,17852.5
27,28.0,0.4654079013400608,75.0,117.0,677.0,441.0,18035.0
28,29.0,0.4651151614718966,76.0,117.0,679.0,444.0,16406.5
29,30.0,0.4645309151543512,80.0,117.0,682.0,448.0,14107.0
30,31.0,0.4641869227091472,81.0,117.0,684.0,450.0,12938.0
31,32.0,0.4635199864705403,83.0,117.0,685.0,455.0,10699.0
32,33.0,0.4633906682332356,84.0,117.0,690.0,457.0,9163.0
33,34.0,0.4628712590535482,89.0,117.0,696.0,458.0,7325.5
34,35.0,0.46316893683539484,89.0,117.0,696.0,458.0,7327.5
35,36.0,0.46238905164930544,88.0,117.0,700.0,464.0,4470.0
36,37.0,0.46239948696560335,85.0,117.0,706.0,462.0,4034.5
37,38.0,0.461660359700521,89.0,117.0,733.0,410.0,99.0
38,39.0,0.4615483220418295,89.0,117.0,733.0,410.0,99.0
39,40.0,0.4613598802354597,90.0,117.0,731.0,409.0,69.0
40,41.0,0.4612772708468967,94.0,117.0,728.0,406.0,84.0
41,42.0,0.4612060589260526,92.0,117.0,722.0,406.0,87.5
42,43.0,0.461316104465061,93.0,117.0,744.0,451.0,2.0
43,44.0,0.46146600511338953,93.0,117.0,718.0,469.0,763.5
44,45.0,0.46147516462537924,93.0,117.0,710.0,403.0,68.0
45,46.0,0.46143350813123907,93.0,117.0,709.0,475.0,956.0
46,47.0,0.46123381296793664,93.0,117.0,701.0,403.0,39.5
47,48.0,0.4613770082261829,91.0,117.0,697.0,396.0,43.0
48,49.0,0.4613916439480253,91.0,117.0,697.0,401.0,11.5
49,50.0,0.4614677980211046,91.0,117.0,696.0,398.0,69.5
50,51.0,0.4616562652587892,141.0,117.0,697.0,398.0,1195.5
51,52.0,0.46065573374430346,125.0,117.0,694.0,397.0,682.0
52,53.0,0.460396800571018,87.0,117.0,696.0,395.0,65.5
53,54.0,0.46094078063964866,116.0,117.0,697.0,393.0,434.5
54,55.0,0.46093886481391033,119.0,117.0,699.0,393.0,504.0
55,56.0,0.460950198703342,120.0,117.0,702.0,393.0,459.5
56,57.0,0.46312558915879987,111.0,117.0,704.0,394.0,480.0
57,58.0,0.46307113223605695,111.0,117.0,707.0,395.0,489.0
58,59.0,0.4630668979220921,111.0,117.0,708.0,395.0,506.0
59,60.0,0.4631755065917969,110.0,117.0,715.0,394.0,514.0
60,61.0,0.4629387537638349,112.0,117.0,718.0,395.0,402.0
61,62.0,0.46311019473605675,78.0,117.0,755.0,517.0,392.0
62,63.0,0.4639719475640194,107.0,117.0,736.0,396.0,507.0
63,64.0,0.4635867648654514,82.0,117.0,739.0,396.0,261.0
64,65.0,0.46407860649956595,79.0,117.0,743.0,398.0,174.0
65,66.0,0.4645666080051001,76.0,117.0,755.0,400.0,126.5
66,67.0,0.46438294728596985,78.0,117.0,758.0,401.0,227.0
67,68.0,0.464526151021322,77.0,117.0,761.0,403.0,206.5
68,69.0,0.4646045176188153,77.0,117.0,766.0,405.0,277.0
69,70.0,0.46502191755506717,81.0,117.0,768.0,406.0,388.5
70,71.0,0.4650178061591254,81.0,117.0,769.0,407.0,378.0
71,72.0,0.4650766372680666,81.0,117.0,771.0,409.0,374.0
72,73.0,0.46506565517849396,81.0,117.0,772.0,410.0,370.0
73,74.0,0.4650196584065755,80.0,117.0,773.0,411.0,386.0
74,75.0,0.46498054504394565,84.0,117.0,775.0,414.0,354.5
75,76.0,0.4650201204088,83.0,117.0,776.0,417.0,346.0
76,77.0,0.4648991182115344,86.0,117.0,777.0,418.0,349.5
77,78.0,0.4646717495388454,84.0,117.0,777.0,421.0,307.0
78,79.0,0.4645937813652886,84.0,117.0,778.0,426.0,316.0
79,80.0,0.46448003980848546,84.0,117.0,778.0,427.0,312.0
80,81.0,0.46429822709825325,88.0,117.0,777.0,428.0,310.0
81,82.0,0.4642981635199653,87.0,117.0,776.0,429.0,307.5
82,83.0,0.464424459669325,88.0,117.0,589.0,420.0,6.0
83,84.0,0.4643950271606447,89.0,117.0,775.0,430.0,328.0
84,85.0,0.46427147335476326,87.0,117.0,773.0,430.0,343.5
85,86.0,0.464138734605577,90.0,117.0,771.0,430.0,365.5
86,87.0,0.4640325249565971,88.0,117.0,769.0,430.0,352.0
87,88.0,0.4640560446845158,91.0,117.0,767.0,430.0,355.0
88,89.0,0.4638668145073786,96.0,117.0,765.0,430.0,362.0
89,90.0,0.46394769880506764,95.0,117.0,762.0,427.0,356.5
90,91.0,0.46378525204128673,100.0,117.0,762.0,427.0,378.0
91,92.0,0.4639953019883896,97.0,117.0,762.0,426.0,381.0
92,93.0,0.4641450542873804,126.0,117.0,760.0,425.0,1579.5
93,94.0,0.4627998818291558,113.0,117.0,760.0,424.0,634.0
94,95.0,0.4627471669514974,98.0,117.0,759.0,424.0,318.0
95,96.0,0.46301779005262617,106.0,117.0,760.0,421.0,461.5
96,97.0,0.46313785552978487,113.0,117.0,763.0,420.0,655.0
97,98.0,0.4630735058254666,112.0,117.0,764.0,419.0,669.5
98,99.0,0.4625299919976126,121.0,117.0,764.0,419.0,636.5
99,100.0,0.46247447543674014,121.0,117.0,767.0,419.0,734.0
100,101.0,0.46244283464219865,130.0,117.0,770.0,419.0,808.5
101,102.0,0.46225360022650835,119.0,117.0,773.0,418.0,666.0
102,103.0,0.4619480133056643,120.0,117.0,774.0,418.0,618.5
103,104.0,0.4614444393581814,101.0,117.0,775.0,420.0,424.0
104,105.0,0.46216608259412995,100.0,117.0,774.0,421.0,369.0
105,106.0,0.4619876692030165,101.0,117.0,774.0,421.0,357.5
106,107.0,0.46228780534532377,101.0,117.0,774.0,421.0,362.0
107,108.0,0.4622510655721028,98.0,117.0,774.0,419.0,298.5
108,109.0,0.46181879255506714,97.0,117.0,773.0,419.0,309.5
109,110.0,0.46172172970241976,97.0,117.0,772.0,419.0,285.0
110,111.0,0.4617404683430993,96.0,117.0,770.0,419.0,293.5
111,112.0,0.4614649539523657,96.0,117.0,769.0,419.0,305.5
112,113.0,0.46157238006591816,95.0,117.0,768.0,419.0,327.5
113,114.0,0.4616206402248807,93.0,117.0,766.0,420.0,300.0
114,115.0,0.46152631971571156,93.0,117.0,764.0,420.0,303.0
115,116.0,0.46168262057834214,89.0,117.0,763.0,420.0,313.0
116,117.0,0.46144290500217033,96.0,117.0,761.0,420.0,322.0
117,118.0,0.4613519880506725,95.0,117.0,759.0,422.0,356.5
118,119.0,0.46126974317762587,95.0,117.0,758.0,422.0,354.0
119,120.0,0.46115554809570314,94.0,117.0,755.0,423.0,340.5
120,121.0,0.46114571041531033,95.0,117.0,753.0,423.0,356.5
121,122.0,0.4610270521375866,97.0,117.0,751.0,424.0,392.0
