,start_frame,peak_frame,end_frame,duration,start_brightness,peak_brightness,end_brightness,next_intervals,next_intervals_count,prev_intervals,prev_intervals_count,ratios,ratios_count,prev_interval,next_interval
0,25.0,27.0,32.0,8.0,9.01020896754524e-05,0.0001027705678257,9.133620245582792e-05,"['0.13', '0.32', '0.5', '1.0']",4,[],0,[0.13 0.32 0.5  1.  ],4,0.0,30.0
1,57.0,57.0,57.0,1.0,8.999706461738647e-05,8.999706461738647e-05,8.999706461738647e-05,['1.0'],1,['0.13'],1,[],0,30.0,4.0
2,59.0,61.0,63.0,5.0,9.033956815254608e-05,0.0001096482749075,8.421836555375453e-05,"['0.5', '1.0']",2,"['0.13', '0.18', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,4.0,44.0
3,105.0,105.0,106.0,2.0,0.0001295451330745,0.0001295451330745,9.901791096765052e-05,"['0.32', '0.5', '1.0']",3,['0.32'],1,[0.18 0.32 0.5  1.  ],4,44.0,44.0
4,149.0,149.0,151.0,3.0,0.0001105776978111,0.0001105776978111,9.129366469474812e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,44.0,33.0
5,182.0,182.0,184.0,3.0,0.0001287047927422,0.0001287047927422,9.316279780436391e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,33.0,45.0
6,227.0,227.0,228.0,2.0,0.0001786519593488,0.0001786519593488,0.0001163403118794,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5']",2,[0.18 0.32 0.5  1.  ],4,45.0,21.0
7,248.0,248.0,248.0,1.0,8.304596340628551e-05,8.304596340628551e-05,8.304596340628551e-05,[],0,[],0,[],0,21.0,24.0
8,269.0,272.0,275.0,7.0,9.551925931805994e-05,0.0001059892475198,8.884853916749947e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,24.0,33.0
9,302.0,305.0,307.0,6.0,9.004879931512005e-05,9.821705948450188e-05,9.178612926078864e-05,"['0.5', '1.0']",2,"['0.13', '0.18', '0.32', '0.5', '1.0']",5,[0.18 0.5  1.  ],3,33.0,44.0
10,349.0,349.0,350.0,2.0,0.000144356808139,0.000144356808139,9.59502358783051e-05,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,44.0,45.0
11,393.0,394.0,394.0,2.0,0.0001129814228075,0.0001130316145001,0.0001130316145001,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,45.0,28.0
12,422.0,422.0,422.0,1.0,8.784833095908685e-05,8.784833095908685e-05,8.784833095908685e-05,"['0.5', '1.0']",2,[],0,[1.],1,28.0,4.0
13,426.0,426.0,427.0,2.0,0.0001262680090408,0.0001262680090408,0.0001260333983552,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,4.0,45.0
14,471.0,471.0,472.0,2.0,0.0001873485072282,0.0001873485072282,0.0001128252768577,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,45.0,45.0
15,512.0,516.0,518.0,7.0,8.910171834199289e-05,0.0001069891426764,9.774479830473465e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,45.0,4.0
16,520.0,520.0,520.0,1.0,9.059172174837773e-05,9.059172174837773e-05,9.059172174837773e-05,['0.5'],1,['1.0'],1,[0.5],1,4.0,29.0
17,545.0,549.0,551.0,7.0,8.64411892903735e-05,0.000103950546536,9.085176546668896e-05,"['0.5', '1.0']",2,"['0.13', '0.18', '0.32', '0.5', '1.0']",5,[0.18 0.5  1.  ],3,29.0,44.0
18,593.0,593.0,594.0,2.0,0.0001367388802082,0.0001367388802082,9.926636031680486e-05,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,44.0,44.0
19,637.0,637.0,640.0,4.0,0.0001178858834112,0.0001178858834112,9.169070291984708e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,44.0,5.0
20,642.0,642.0,642.0,1.0,8.417934344688258e-05,8.417934344688258e-05,8.417934344688258e-05,['1.0'],1,['0.5'],1,[1.],1,5.0,25.0
21,667.0,667.0,667.0,1.0,8.590210348958076e-05,8.590210348958076e-05,8.590210348958076e-05,"['0.5', '1.0']",2,"['0.5', '1.0']",2,[],0,25.0,3.0
22,670.0,670.0,672.0,3.0,0.0001321483412922,0.0001321483412922,9.017484982855052e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,3.0,45.0
23,715.0,715.0,716.0,2.0,0.0001907071751945,0.0001907071751945,0.0001069206451991,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,45.0,45.0
24,757.0,760.0,763.0,7.0,9.2243120376413e-05,0.0001048824105473,8.950956711849175e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,45.0,33.0
25,790.0,793.0,796.0,7.0,9.167004741182416e-05,0.0001107225171686,9.771080578563236e-05,"['0.32', '0.5', '1.0']",3,"['0.13', '0.18', '0.32', '0.5', '1.0']",5,[0.18 0.32 0.5  1.  ],4,33.0,45.0
